id,question,query
G098,Show item-wise batch opening balance and transactions.,"with tblTrackingReco as
(
	select i.item, i.tracking_number,
 sum(case when t.parent in ('Receipt Note', 'Delivery Note') then abs(i.quantity) else 0 end) note,
 sum(case when t.parent not in ('Receipt Note', 'Delivery Note') then abs(i.quantity) else 0 end) invoice
	from trn_inventory i
	join trn_voucher v on v.guid = i.guid
	join mst_vouchertype t on v.voucher_type = t.name
	where i.tracking_number is not null
	group by i.item, i.tracking_number
),
tblEffects as
(
select
	i.item,
	sum(case when i.quantity > 0 then i.quantity else 0 end) in_qty,
	sum(case when i.quantity < 0 then -i.quantity else 0 end) out_qty
from trn_inventory i
join trn_voucher v on v.guid = i.guid
join mst_vouchertype t on v.voucher_type = t.name
left join tblTrackingReco r on (i.item = r.item and i.tracking_number = r.tracking_number)
where
	v.is_order_voucher = 0 and (i.tracking_number is null or (t.parent not in ('Receipt Note', 'Delivery Note') and (r.note = r.invoice)) or (t.parent in ('Receipt Note', 'Delivery Note') and (r.note > r.invoice)))
group by i.item
)
select
	s.name, s.parent, s.uom,
	s.opening_balance op_qty,
	coalesce(e.in_qty, 0) in_qty,
	coalesce(e.out_qty, 0) out_qty,
	(s.opening_balance + coalesce(e.in_qty, 0) - coalesce(e.out_qty, 0)) clo_bal
from mst_stock_item s
left join tblEffects e on s.name = e.item"
G099,Show trial balance for all ledgers.,"SELECT
 DATEFROMPARTS(2000,1,1) AS date,
 '' as voucher_number,
 'Opening Balance' as voucher_type,
 b.item,
 b.opening_balance as quantity,
 b.opening_value as amount,
 b.godown as godown
FROM mst_opening_batch_allocation as b
UNION ALL
SELECT t.date, t.voucher_number, t.voucher_type, t.item, t.quantity, t.amount, t.godown
FROM
(
	SELECT
 v.date, v.voucher_number, v.voucher_type, i.item, i.quantity, i.amount, i.godown,
 (CASE WHEN i.tracking_number = '' THEN 1 ELSE ROW_NUMBER() OVER(PARTITION BY i.tracking_number, i.item ORDER BY v.date) END) AS repetition
	FROM trn_inventory as i
	JOIN trn_voucher as v on (v.guid = i.guid)
	WHERE v.is_order_voucher = 0
) AS t
WHERE t.repetition = 1"
G100,Show me the Trial Balance for March.,"declare
 @fromDate date = '2020-04-01',
 @toDate date = '2021-03-31';
with tblop as
(
 select a.ledger 'ledger', sum(a.amount) 'amount'
 from trn_accounting a
 join trn_voucher v on v.guid = a.guid
 where v.is_order_voucher = 0 and v.is_inventory_voucher = 0 and v.date < @fromDate
 group by a.ledger
),
tblcurr as
(
 select a.ledger 'ledger',
 sum(case when a.amount < 0 then abs(a.amount) else 0 end) 'debit',
 sum(case when a.amount > 0 then a.amount else 0 end) 'credit'
 from trn_accounting a
 join trn_voucher v on v.guid = a.guid
 where v.is_order_voucher = 0 and v.is_inventory_voucher = 0 and v.date between @fromDate and @toDate
 group by a.ledger
)
select l.name,
(case when l.is_revenue = 0 then (l.opening_balance + isnull(op.amount,0)) else 0 end) 'opening',
isnull(curr.debit,0) 'debit',
isnull(curr.credit,0) 'credit',
(case when l.is_revenue = 0 then (l.opening_balance + isnull(op.amount,0)) + isnull(curr.credit,0) - isnull(curr.debit,0) else isnull(curr.credit,0) - isnull(curr.debit,0) end) 'closing'
from mst_ledger l
left join tblop op on op.ledger = l.name
left join tblcurr curr on curr.ledger = l.name
order by l.name
;"
G101,Which items have been sitting in stock for more than 180 days?,"SELECT
 ml.name AS ledger_name,
 CASE WHEN (ml.opening_balance + COALESCE(SUM(ta.amount), 0)) <= 0
 THEN -(ml.opening_balance + COALESCE(SUM(ta.amount), 0))
 ELSE 0 END AS debit, CASE
 WHEN (ml.opening_balance + COALESCE(SUM(ta.amount), 0)) > 0
 THEN (ml.opening_balance + COALESCE(SUM(ta.amount), 0))
 ELSE 0 END AS credit
 FROM mst_ledger AS ml
 LEFT JOIN trn_accounting AS ta ON ml.guid = ta._ledger
 LEFT JOIN trn_voucher AS tv ON ta.guid = tv.guid
 WHERE (tv.date IS NULL OR (tv.date >= '2020-04-01' AND tv.date <= '2021-03-31'))
 GROUP BY ml.guid, ml.name, ml.opening_balance
 ORDER BY ml.name;"
G102,List of Customers No Transaction in Last 180 days,"WITH stock_movement AS (
 SELECT
 ti._item AS item_guid,
 SUM(ti.quantity) AS closing_quantity,
 SUM(ti.amount) AS closing_value
 FROM trn_inventory ti
 JOIN trn_voucher tv ON ti.guid = tv.guid
 WHERE tv.date >= '2022-04-01'
 GROUP BY ti._item
),
outward_check AS (
 SELECT
 ti._item AS item_guid,
 SUM(ABS(ti.quantity)) AS outward_qty
 FROM trn_inventory ti
 JOIN trn_voucher tv ON ti.guid = tv.guid
 WHERE
 ti.quantity < 0
 AND tv.date BETWEEN '2022-04-01' AND '2022-09-28'
 GROUP BY ti._item
)
SELECT
 si.name AS item_name,
 ABS(sm.closing_quantity) AS closing_quantity,
 ABS(sm.closing_value) AS closing_value
FROM stock_movement sm
LEFT JOIN outward_check oc
ON sm.item_guid = oc.item_guid
JOIN mst_stock_item si
ON sm.item_guid = si.guid
WHERE COALESCE(oc.outward_qty,0) = 0;"
G103,What is the current account balance with each customer/supplier?,"SELECT
 SUM(ti.quantity) AS total_quantity,
 SUM(ti.amount) AS total_value
FROM trn_inventory ti
JOIN trn_voucher tv
 ON ti.guid = tv.guid
JOIN mst_vouchertype vt
 ON tv._voucher_type = vt.guid
WHERE ti.quantity > 0
AND vt.parent IN (
 'Credit Note - BPOS',
 'Credit Note-Goods Rtn',
 'Credit Note'
)
AND tv.date BETWEEN '2020-04-01' AND '2021-03-31';"
G104,How much outstanding is pending from each customer?,"WITH debtor_ledgers AS (
 SELECT
 ml.guid,
 ml.name AS ledger_name,
 ml.opening_balance
 FROM mst_ledger ml
 JOIN mst_group mg
 ON ml._parent = mg.guid
 WHERE mg.parent = 'Sundry Debtors'
),
period_transactions AS (
 SELECT DISTINCT
 ta._ledger
 FROM trn_accounting ta
 JOIN trn_voucher tv
 ON ta.guid = tv.guid
 WHERE tv.date BETWEEN '2023-01-01' AND '2023-03-31'
)
SELECT
 dl.ledger_name,
 dl.opening_balance AS opening_bal,
 0 AS total_debit,
 0 AS total_credit,
 dl.opening_balance AS closing_bal
FROM debtor_ledgers dl
LEFT JOIN period_transactions pt
 ON dl.guid = pt._ledger
WHERE pt._ledger IS NULL
ORDER BY dl.ledger_name;"
G105,Which suppliers gave the lowest rates historically?,"SELECT ml.name AS customer_supplier_name,
 SUM(ml.closing_balance) AS current_balance
 FROM mst_ledger ml
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE mg.name IN ( 'Sundry Debtors', 'Sundry Creditors', 'DISTRIBUTORS' )
 GROUP BY ml.name
 ORDER BY ml.name;"
G106,What is the current financial position (Balance Sheet snapshot)?,"SELECT
 SUM(ti.quantity) AS total_quantity,
 SUM(ti.amount) AS total_value
FROM trn_inventory AS ti
JOIN trn_voucher AS tv
 ON ti.guid = tv.guid
JOIN mst_vouchertype vt
 ON tv._voucher_type = vt.guid
WHERE
 vt.name ILIKE '%Credit Note%'
 AND tv.date >= '2020-07-01'
 AND tv.date <= '2020-07-31';"
G107,What's our total GST liability accumulated so far this year?,"SELECT
 ml.name AS customer_name,
 ABS(SUM(ta.amount)) AS outstanding_amount
FROM trn_accounting ta
JOIN mst_ledger ml
 ON ta._ledger = ml.guid
JOIN mst_group mg
 ON ml._parent = mg.guid
JOIN trn_voucher tv
 ON ta.guid = tv.guid
WHERE
 mg.name = 'Sundry Debtors'
 AND tv.date <= '2021-03-31' -- include ALL till end date
GROUP BY ml.name
HAVING SUM(ta.amount) < 0;"
G108,Monthly inventory turnover report,"SELECT
 tv.party_name AS supplier_name,
 MIN(ti.rate) AS lowest_historical_rate
FROM trn_voucher tv
JOIN trn_inventory ti
 ON tv.guid = ti.guid
JOIN mst_vouchertype vt
 ON tv._voucher_type = vt.guid
WHERE
 tv.date >= '2020-04-01'
 AND tv.date <= '2021-03-31'
 AND vt.name ILIKE '%Purchase%' -- 🔥 restrict to purchase vouchers
 AND ti.quantity > 0 -- inward only
 AND ti.rate > 0
GROUP BY
 tv.party_name
ORDER BY
 lowest_historical_rate ASC;"
G109,What is the total sales for may 2021,"SELECT
 CASE
 WHEN mg.parent IS NULL OR mg.parent = ''
 THEN mg.primary_group
 ELSE mg.parent
 END AS parent,
 mg.primary_group,
 ml.name AS ledger_name,
 SUM(ml.closing_balance) AS total_closing_balance
FROM mst_ledger AS ml
JOIN mst_group AS mg
ON ml._parent = mg.guid
WHERE mg.is_revenue = 0
GROUP BY
 mg.primary_group,
 mg.parent,
 ml.name
ORDER BY mg.primary_group;"
G110,What is the closing stock value,"SELECT
 ml.name AS ledger_name,
 SUM(ta.amount) AS closing_balance
FROM trn_accounting ta
JOIN trn_voucher tv
 ON ta.guid = tv.guid
JOIN mst_ledger ml
 ON ta._ledger = ml.guid
JOIN mst_group mg
 ON ml._parent = mg.guid
WHERE mg.name = 'Duties & Taxes'
AND tv.date >= '2020-04-01'
AND tv.date <= '2021-03-31'
GROUP BY ml.name
ORDER BY ml.name;"
G111,Where am I losing money today?,"SELECT
 date_trunc('month', tv.date) AS month,
 msi.name AS item_name,
 SUM(CASE WHEN ti.quantity > 0 THEN ti.quantity ELSE 0 END)
 AS monthly_inflow_quantity,
 SUM(CASE WHEN ti.quantity > 0 THEN ti.amount ELSE 0 END)
 AS monthly_inflow_value,
 SUM(CASE WHEN ti.quantity < 0 THEN ti.quantity ELSE 0 END)
 AS monthly_outflow_quantity,
 SUM(CASE WHEN ti.quantity < 0 THEN ti.amount ELSE 0 END)
 AS monthly_outflow_value
FROM trn_inventory ti
JOIN trn_voucher tv
 ON ti.guid = tv.guid
JOIN mst_stock_item msi
 ON ti._item = msi.guid
WHERE tv.is_inventory_voucher = 1
GROUP BY
 date_trunc('month', tv.date),
 msi.name
ORDER BY
 month,
 msi.name;"
G112,What decisions should I take today?,"WITH base_data AS (
 SELECT
 tv.guid,
 tv.date,
 tv.voucher_number,
 tv.voucher_type,
 ml.name AS ledger_name,
 mg.name AS ledger_group,
 ta.amount
 FROM trn_voucher tv
 JOIN trn_accounting ta ON tv.guid = ta.guid
 JOIN mst_ledger ml ON ta._ledger = ml.guid
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE
 tv.is_order_voucher = 0
 AND tv.is_inventory_voucher = 0
 AND LOWER(tv.voucher_type) LIKE '%sales%'
),
inventory_data AS (
 SELECT
 guid,
 SUM(ABS(quantity)) AS total_quantity
 FROM trn_inventory
 WHERE quantity < 0
 GROUP BY guid
),
aggregated_data AS (
 SELECT
 DATE_TRUNC('month', b.date) AS month,
 TO_CHAR(b.date, 'Month YYYY') AS month_name,
 b.guid,
 /* Taxable Value */
 SUM(CASE
 WHEN b.ledger_group IN ('Sales Accounts')
 THEN b.amount ELSE 0 END
 ) AS taxable_value,
 /* Discounts */
 SUM(CASE
 WHEN LOWER(b.ledger_name) LIKE '%discount%'
 OR LOWER(b.ledger_name) LIKE '%incentive%'
 OR LOWER(b.ledger_name) LIKE '%margin%'
 THEN ABS(b.amount) ELSE 0 END
 ) AS total_discount,
 /* GST Breakup */
 SUM(CASE
 WHEN LOWER(REPLACE(b.ledger_name, ' ', '')) LIKE '%outputcgst%'
 OR LOWER(REPLACE(b.ledger_name, ' ', '')) LIKE '%cgst%'
 THEN b.amount
 ELSE 0
 END) AS cgst,
 SUM(CASE
 WHEN LOWER(REPLACE(b.ledger_name, ' ', '')) LIKE '%outputsgst%'
 OR LOWER(REPLACE(b.ledger_name, ' ', '')) LIKE '%sgst%'
 THEN b.amount
 ELSE 0
 END) AS sgst,
 SUM(CASE
 WHEN LOWER(REPLACE(b.ledger_name, ' ', '')) LIKE '%outputigst%'
 OR LOWER(REPLACE(b.ledger_name, ' ', '')) LIKE '%igst%'
 THEN b.amount
 ELSE 0
 END) AS igst,
 /* Quantity */
 COALESCE(MAX(i.total_quantity), 0) AS total_quantity
 FROM base_data b
 LEFT JOIN inventory_data i ON b.guid = i.guid
 GROUP BY
 DATE_TRUNC('month', b.date),
 TO_CHAR(b.date, 'Month YYYY'),
 b.guid
)
SELECT
 month_name,
 COUNT(DISTINCT guid) AS total_invoices,
 SUM(total_quantity) AS total_quantity,
 SUM(taxable_value + total_discount) AS gross_sales_value,
 SUM(total_discount) AS total_discount,
 SUM(taxable_value) AS taxable_value,
 SUM(cgst) AS cgst,
 SUM(sgst) AS sgst,
 SUM(igst) AS igst,
 SUM(cgst + sgst + igst) AS total_gst,
 SUM(taxable_value + cgst + sgst + igst) AS invoice_total
FROM aggregated_data
GROUP BY
 month,
 month_name
ORDER BY
 month;"
G113,What is biggest risk today?,"SELECT
 mg.name AS particulars,
 SUM(ml.closing_balance) AS closing_balance
FROM mst_ledger ml
JOIN mst_group mg
 ON ml._parent = mg.guid
GROUP BY mg.name
ORDER BY mg.name;"
G114,What opportunity should I capture today?,"SELECT
 l.name AS ledger_name,
 g.primary_group AS ledger_type,
 CASE WHEN SUM(a.amount) > 0 THEN ABS(SUM(a.amount)) ELSE 0 END AS credit_amount,
 CASE WHEN SUM(a.amount) < 0 THEN ABS(SUM(a.amount)) ELSE 0 END AS debit_amount,
 v.voucher_type,
 v.voucher_number,
 v.narration
FROM trn_voucher v
INNER JOIN trn_accounting a ON v.guid = a.guid
INNER JOIN mst_ledger l ON a._ledger = l.guid
INNER JOIN mst_group g ON l._parent = g.guid
WHERE v.date = '2021-02-03'
 AND v.is_order_voucher = 0
 AND v.is_inventory_voucher = 0
 AND g.is_revenue = 1
 AND (
 (g.is_deemedpositive = 1 AND a.amount < 0) OR
 (g.is_deemedpositive = 0 AND a.amount > 0)
 )
GROUP BY l.name, g.primary_group, v.voucher_type, v.voucher_number, v.narration, v.date
ORDER BY ABS(SUM(a.amount)) DESC"
G115,Which client needs urgent attention?,"WITH financial_summary AS (
 SELECT
 'Total Revenue' AS metric,
 SUM(CASE WHEN ta.amount > 0 THEN ABS(ta.amount) ELSE 0 END) AS credit_balance,
 SUM(CASE WHEN ta.amount < 0 THEN ABS(ta.amount) ELSE 0 END) AS debit_balance
 FROM trn_accounting ta
 JOIN trn_voucher tv ON ta.guid = tv.guid
 JOIN mst_ledger ml ON ta._ledger = ml.guid
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE tv.date <= '2021-03-31'
 AND tv.is_order_voucher = 0
 AND tv.is_inventory_voucher = 0
 AND mg.primary_group = 'Sales Accounts'
 UNION ALL
 SELECT
 'Total Expenses' AS metric,
 SUM(CASE WHEN ta.amount > 0 THEN ABS(ta.amount) ELSE 0 END) AS credit_balance,
 SUM(CASE WHEN ta.amount < 0 THEN ABS(ta.amount) ELSE 0 END) AS debit_balance
 FROM trn_accounting ta
 JOIN trn_voucher tv ON ta.guid = tv.guid
 JOIN mst_ledger ml ON ta._ledger = ml.guid
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE tv.date <= '2021-03-31'
 AND tv.is_order_voucher = 0
 AND tv.is_inventory_voucher = 0
 AND mg.primary_group IN ('Purchase Accounts', 'Direct Expenses', 'Indirect Expenses')
 UNION ALL
 SELECT
 'Outstanding Receivables' AS metric,
 SUM(CASE WHEN closing_balance > 0 THEN ABS(closing_balance) ELSE 0 END) AS credit_balance,
 SUM(CASE WHEN closing_balance < 0 THEN ABS(closing_balance) ELSE 0 END) AS debit_balance
 FROM mst_ledger ml
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE mg.primary_group = 'Sundry Debtors'
 UNION ALL
 SELECT
 'Outstanding Payables' AS metric,
 SUM(CASE WHEN closing_balance > 0 THEN ABS(closing_balance) ELSE 0 END) AS credit_balance,
 SUM(CASE WHEN closing_balance < 0 THEN ABS(closing_balance) ELSE 0 END) AS debit_balance
 FROM mst_ledger ml
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE mg.primary_group = 'Sundry Creditors'
 UNION ALL
 SELECT
 'Cash and Bank Balance' AS metric,
 SUM(CASE WHEN closing_balance > 0 THEN ABS(closing_balance) ELSE 0 END) AS credit_balance,
 SUM(CASE WHEN closing_balance < 0 THEN ABS(closing_balance) ELSE 0 END) AS debit_balance
 FROM mst_ledger ml
 JOIN mst_group mg ON ml._parent = mg.guid
 WHERE mg.primary_group IN ('Cash-in-Hand', 'Bank Accounts')
 UNION ALL
 SELECT
 'Stock Value' AS metric,
 SUM(ABS(closing_value)) AS credit_balance,
 0::NUMERIC AS debit_balance
 FROM mst_stock_item
)
SELECT
 metric,
 ROUND(credit_balance, 2) AS credit_balance,
 ROUND(debit_balance, 2) AS debit_balance
FROM financial_summary
ORDER BY
 CASE metric
 WHEN 'Total Revenue' THEN 1
 WHEN 'Total Expenses' THEN 2
 WHEN 'Outstanding Receivables' THEN 3
 WHEN 'Outstanding Payables' THEN 4
 WHEN 'Cash and Bank Balance' THEN 5
 WHEN 'Stock Value' THEN 6
 END"
G116,Any abnormal drop in sales?,"SELECT
 l.name AS ledger_name,
 g.primary_group,
 CASE WHEN l.closing_balance > 0 THEN ABS(l.closing_balance) ELSE 0 END AS credit_balance,
 CASE WHEN l.closing_balance < 0 THEN ABS(l.closing_balance) ELSE 0 END AS debit_balance,
 ABS(l.closing_balance) AS absolute_exposure
FROM
 mst_ledger l
 INNER JOIN mst_group g ON l._parent = g.guid
WHERE
 g.primary_group IN ('Sundry Debtors', 'Sundry Creditors', 'Loans (Liability)', 'Bank OD A/c', 'Unsecured Loans')
 AND l.closing_balance != 0
ORDER BY
 ABS(l.closing_balance) DESC
LIMIT 10"
G117,Any abnormal increase in expense?,"SELECT
 l.name AS ledger_name,
 l.parent AS ledger_group,
 CASE WHEN l.closing_balance > 0 THEN ABS(l.closing_balance) ELSE 0 END AS credit_balance,
 CASE WHEN l.closing_balance < 0 THEN ABS(l.closing_balance) ELSE 0 END AS debit_balance,
 g.primary_group,
 l.mailing_name,
 l.mobile,
 l.email,
 l.gstn
FROM mst_ledger l
INNER JOIN mst_group g ON l._parent = g.guid
WHERE g.primary_group IN ('Sundry Debtors', 'Sundry Creditors')
 AND l.closing_balance != 0
ORDER BY ABS(l.closing_balance) DESC
LIMIT 20"
G118,Any stock discrepancy today?,"SELECT
 l.name AS client_name,
 CASE WHEN l.closing_balance > 0 THEN ABS(l.closing_balance) ELSE 0 END AS credit_balance,
 CASE WHEN l.closing_balance < 0 THEN ABS(l.closing_balance) ELSE 0 END AS debit_balance,
 l.mobile,
 l.email,
 MAX(v.date) AS last_transaction_date,
 CURRENT_DATE - MAX(v.date) AS days_since_last_transaction,
 l.bill_credit_period,
 COUNT(DISTINCT CASE
 WHEN vt.parent IN ('Sales', 'Credit Note', 'Debit Note')
 AND v.is_invoice = 1
 THEN v.guid
 END) AS pending_invoice_count
FROM mst_ledger l
INNER JOIN mst_group g ON l._parent = g.guid
LEFT JOIN trn_voucher v ON v._party_name = l.guid
LEFT JOIN mst_vouchertype vt ON v._voucher_type = vt.guid
WHERE g.primary_group = 'Sundry Debtors'
 AND l.closing_balance < 0
GROUP BY l.guid, l.name, l.closing_balance, l.mobile, l.email, l.bill_credit_period
HAVING MAX(v.date) IS NOT NULL
ORDER BY
 ABS(l.closing_balance) DESC,
 days_since_last_transaction DESC
LIMIT 10"
G119,Any duplicate entries today?,"SELECT
 TO_CHAR(DATE_TRUNC('month', v.date), 'YYYY-MM') AS month,
 TO_CHAR(v.date, 'Month YYYY') AS month_name,
 ABS(SUM(a.amount)) AS sales_amount,
 LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date)) AS previous_month_sales,
 CASE
 WHEN LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date)) > 0
 THEN ROUND(
 ((ABS(SUM(a.amount)) - LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date)))
 / LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date))) * 100,
 2
 )
 ELSE 0
 END AS percentage_change,
 CASE
 WHEN LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date)) > 0
 AND ((ABS(SUM(a.amount)) - LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date)))
 / LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date))) < -0.20
 THEN 'Abnormal Drop (>20%)'
 WHEN LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date)) > 0
 AND ((ABS(SUM(a.amount)) - LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date)))
 / LAG(ABS(SUM(a.amount))) OVER (ORDER BY DATE_TRUNC('month', v.date))) < 0
 THEN 'Decline'
 ELSE 'Normal/Growth'
 END AS trend_flag
FROM trn_voucher v
INNER JOIN trn_accounting a ON v.guid = a.guid
INNER JOIN mst_vouchertype vt ON v._voucher_type = vt.guid
INNER JOIN mst_ledger l ON a._ledger = l.guid
INNER JOIN mst_group g ON l._parent = g.guid
WHERE v.date BETWEEN '2020-04-01' AND '2021-03-31'
 AND v.is_order_voucher = 0
 AND v.is_inventory_voucher = 0
 AND vt.parent IN ('Sales', 'Trading Sales')
 AND g.primary_group = 'Sales Accounts'
GROUP BY DATE_TRUNC('month', v.date), v.date
ORDER BY DATE_TRUNC('month', v.date);"
G120,Any negative stock today?,"SELECT
 EXTRACT(YEAR FROM tv.date) AS financial_year_part,
 EXTRACT(MONTH FROM tv.date) AS month_of_year,
 SUM(ABS(ta.amount)) AS total_monthly_expense
FROM
 trn_accounting AS ta
JOIN
 trn_voucher AS tv ON ta.guid = tv.guid
JOIN
 mst_ledger AS ml ON ta._ledger = ml.guid
JOIN
 mst_group AS mg ON ml._parent = mg.guid
WHERE
 tv.date >= '2020-04-01' AND tv.date <= '2021-03-31'
 AND (mg.primary_group = 'Indirect Expenses' OR mg.primary_group = 'Direct Expenses')
 AND ta.amount < 0 /* Expenses are recorded as negative amounts (debits) */
 AND tv.is_order_voucher = 0
 AND tv.is_inventory_voucher = 0
GROUP BY
 EXTRACT(YEAR FROM tv.date),
 EXTRACT(MONTH FROM tv.date)
ORDER BY
 financial_year_part,
 month_of_year;"
G121,What is today's net cash flow?,"WITH stock_till_date AS (
 SELECT
 msi.guid,
 msi.name AS item_name,
 -- Opening stock
 COALESCE(msi.opening_balance, 0) +
 -- Movement before given date
 COALESCE(SUM(ti.quantity), 0) AS closing_qty
 FROM mst_stock_item msi
 LEFT JOIN trn_inventory ti
 ON ti._item = msi.guid
 LEFT JOIN trn_voucher tv
 ON ti.guid = tv.guid
 AND (tv.date >= '2026-01-01' AND tv.date <= '2026-01-01')
 AND tv.is_order_voucher = 0
 GROUP BY msi.guid, msi.name, msi.opening_balance
)
SELECT
 item_name,
 closing_qty
FROM stock_till_date
WHERE closing_qty < 0
ORDER BY closing_qty;"
G122,What is today's inflow vs outflow?,"SELECT
 tv.date,
 vt.name AS voucher_type,
 tv.voucher_number,
 tv.party_name,
 tv.reference_number,
 dup.duplicate_count
FROM trn_voucher tv
JOIN mst_vouchertype vt
 ON tv._voucher_type = vt.guid
JOIN (
 /* Find document/reference numbers used in vouchers dated 02-02-2026,
 then check if same number exists multiple times in all dates */
 SELECT
 reference_number,
 COUNT(*) AS duplicate_count
 FROM trn_voucher
 WHERE reference_number IN (
 SELECT DISTINCT reference_number
 FROM trn_voucher
 WHERE date = '2025-08-13'
 -- AND COALESCE(reference_number,'') <> ''
 )
 GROUP BY reference_number
 HAVING COUNT(*) > 1
) dup
 ON tv.reference_number = dup.reference_number
ORDER BY
 tv.reference_number,
 tv.date,
 tv.voucher_number;"
G123,Any risk of negative balance today?,"WITH stock_till_date AS (
 SELECT
 msi.guid,
 msi.name AS item_name,
 -- Opening stock
 COALESCE(msi.opening_balance, 0) +
 -- Movement before given date
 COALESCE(SUM(ti.quantity), 0) AS closing_qty
 FROM mst_stock_item msi
 LEFT JOIN trn_inventory ti
 ON ti._item = msi.guid
 LEFT JOIN trn_voucher tv
 ON ti.guid = tv.guid
 AND (tv.date >= '2025-04-01' AND tv.date <= '2026-03-31')
 AND tv.is_order_voucher = 0
 GROUP BY msi.guid, msi.name, msi.opening_balance
)
SELECT
 item_name,
 closing_qty
FROM stock_till_date
WHERE closing_qty < 0
ORDER BY closing_qty;"
G124,Which customers should I call today for payment?,"WITH cash_entries AS (
 SELECT
 tv.guid,
 tv.date,
 vt.name AS voucher_type,
-- Inflow (positive)
SUM(CASE
 WHEN LOWER(mg.primary_group) IN ('cash-in-hand','bank accounts','bank od a/c')
 AND ta.amount < 0
 THEN ABS(ta.amount) ELSE 0
END) AS inflow,
-- Outflow (positive)
SUM(CASE
 WHEN LOWER(mg.primary_group) IN ('cash-in-hand','bank accounts','bank od a/c')
 AND ta.amount > 0
 THEN ta.amount ELSE 0
END) AS outflow
 FROM trn_accounting ta
 JOIN trn_voucher tv ON ta.guid = tv.guid
 JOIN mst_ledger ml ON ta._ledger = ml.guid
 JOIN mst_group mg ON ml._parent = mg.guid
 JOIN mst_vouchertype vt ON tv._voucher_type = vt.guid
 WHERE
 tv.date BETWEEN '2025-04-01' AND '2026-03-31'
 AND tv.is_order_voucher = 0
 GROUP BY tv.guid, tv.date, vt.name
),
filtered_cash AS (
 SELECT *
 FROM cash_entries
 WHERE
 -- ❗ Remove internal transfers (Contra-like)
 NOT (inflow > 0 AND outflow > 0)
)
SELECT
 date,
 ROUND(SUM(inflow),2) AS inflow,
 ROUND(SUM(outflow),2) AS outflow,
 -- Net stays same
 ROUND(SUM(inflow) - SUM(outflow), 2) AS net_flow
FROM filtered_cash
GROUP BY date
ORDER BY date;"
G125,Which items will go out of stock today?,"WITH cash_entries AS (
 SELECT
 tv.guid,
 tv.date,
 vt.name AS voucher_type,
-- Inflow (positive)
SUM(CASE
 WHEN LOWER(mg.primary_group) IN ('cash-in-hand','bank accounts','bank od a/c')
 AND ta.amount < 0
 THEN ABS(ta.amount) ELSE 0
END) AS inflow,
-- Outflow (positive)
SUM(CASE
 WHEN LOWER(mg.primary_group) IN ('cash-in-hand','bank accounts','bank od a/c')
 AND ta.amount > 0
 THEN ta.amount ELSE 0
END) AS outflow
 FROM trn_accounting ta
 JOIN trn_voucher tv ON ta.guid = tv.guid
 JOIN mst_ledger ml ON ta._ledger = ml.guid
 JOIN mst_group mg ON ml._parent = mg.guid
 JOIN mst_vouchertype vt ON tv._voucher_type = vt.guid
 WHERE
 tv.date BETWEEN '2025-04-01' AND '2026-03-31'
 AND tv.is_order_voucher = 0
 GROUP BY tv.guid, tv.date, vt.name
),
filtered_cash AS (
 SELECT *
 FROM cash_entries
 WHERE
 -- ❗ Remove internal transfers (Contra-like)
 NOT (inflow > 0 AND outflow > 0)
)
SELECT
 date,
 ROUND(SUM(inflow),2) AS inflow,
 ROUND(SUM(outflow),2) AS outflow
FROM filtered_cash
GROUP BY date
ORDER BY date;"
G126,Any abnormal stock movement today?,"WITH balance_as_on AS (
 SELECT
 ml.guid,
 ml.name AS ledger_name,
 mg.primary_group,
 -- Opening + all past movements
 COALESCE(ml.opening_balance, 0) +
 COALESCE(SUM(ta.amount), 0) AS closing_balance
 FROM mst_ledger ml
 JOIN mst_group mg ON ml._parent = mg.guid
 LEFT JOIN trn_accounting ta
 ON ta._ledger = ml.guid
 LEFT JOIN trn_voucher tv
 ON ta.guid = tv.guid
 AND tv.date = '2025-04-01'
 AND tv.is_order_voucher = 0
 WHERE
 LOWER(mg.primary_group) IN (
 'cash-in-hand',
 'bank accounts',
 'bank od a/c'
 )
 GROUP BY ml.guid, ml.name, mg.primary_group, ml.opening_balance
)
SELECT
 ledger_name,
 primary_group,
 ROUND(closing_balance, 2) AS closing_balance
FROM balance_as_on
WHERE closing_balance < 0 -- 🔴 Negative balance risk
ORDER BY closing_balance;"
