id,question,query,language
voucher_lookup_by_number__1_hinglish_9,PUR/0105 voucher pull karo aur dikhao.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0105'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_en_0,Show details of voucher PUR/0119.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_1,What are the details of purchase voucher PUR/0119?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_2,Fetch the entry for voucher number PUR/0119.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_3,Give me information about voucher PUR/0119.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_4,Look up voucher PUR/0119 and show all line items.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_5,Display all details for PUR/0119.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_6,Open voucher PUR/0119 and show its entries.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_7,What does voucher PUR/0119 contain?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_8,Show the accounting lines for voucher PUR/0119.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_en_9,Pull up voucher PUR/0119 details.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",en
voucher_lookup_by_number__2_hi_0,वाउचर PUR/0119 का विवरण दिखाएं।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_1,PUR/0119 वाउचर की जानकारी दिखाइए।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_2,वाउचर नंबर PUR/0119 की एंट्री क्या है?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_3,PUR/0119 का पूरा विवरण बताइए।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_4,PUR/0119 वाउचर में क्या एंट्री है?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_5,वाउचर PUR/0119 की अकाउंटिंग लाइन्स दिखाएं।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_6,PUR/0119 का वाउचर खोलें और सभी जानकारी दें।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_7,PUR/0119 में कौन से खाते हैं?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_8,वाउचर PUR/0119 का पूरा ब्यौरा दिखाएं।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_hi_9,PUR/0119 वाउचर की डिटेल निकालिए।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__2_gu_0,Voucher PUR/0119 ની વિગત દેખાડો.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_1,PUR/0119 voucher ની information.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_2,Voucher number PUR/0119 ની entry.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_3,PUR/0119 ની accounting lines.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_4,PUR/0119 voucher ની detail.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_5,Voucher PUR/0119 ખોલો ane entries.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_6,PUR/0119 mein shu entry chhe?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_7,PUR/0119 na details kya chhe?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_8,PUR/0119 voucher ni poori detail.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_gu_9,Voucher PUR/0119 nu vivaran.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__2_hinglish_0,Voucher PUR/0119 ki details dikhao.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_1,PUR/0119 ka voucher kya hai?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_2,PUR/0119 voucher ki saari entry dikhao.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_3,Mujhe voucher PUR/0119 ki jankari chahiye.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_4,PUR/0119 ke accounting lines dikhao.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_5,PUR/0119 wala voucher kholo aur detail batao.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_6,PUR/0119 mein kya kya entries hain?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_7,Voucher number PUR/0119 ka detail nikalo.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_8,PUR/0119 ka poora voucher detail.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__2_hinglish_9,PUR/0119 voucher pull karo aur dikhao.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'PUR/0119'
ORDER BY ta.amount;",hinglish
voucher_lookup_by_number__3_en_0,Show details of voucher SLS/0108.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_1,What are the details of sales voucher SLS/0108?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_2,Fetch the entry for voucher number SLS/0108.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_3,Give me information about voucher SLS/0108.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_4,Look up voucher SLS/0108 and show all line items.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_5,Display all details for SLS/0108.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_6,Open voucher SLS/0108 and show its entries.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_7,What does voucher SLS/0108 contain?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_8,Show the accounting lines for voucher SLS/0108.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_en_9,Pull up voucher SLS/0108 details.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",en
voucher_lookup_by_number__3_hi_0,वाउचर SLS/0108 का विवरण दिखाएं।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_1,SLS/0108 वाउचर की जानकारी दिखाइए।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_2,वाउचर नंबर SLS/0108 की एंट्री क्या है?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_3,SLS/0108 का पूरा विवरण बताइए।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_4,SLS/0108 वाउचर में क्या एंट्री है?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_5,वाउचर SLS/0108 की अकाउंटिंग लाइन्स दिखाएं।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_6,SLS/0108 का वाउचर खोलें और सभी जानकारी दें।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_7,SLS/0108 में कौन से खाते हैं?,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_8,वाउचर SLS/0108 का पूरा ब्यौरा दिखाएं।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_hi_9,SLS/0108 वाउचर की डिटेल निकालिए।,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",hi
voucher_lookup_by_number__3_gu_0,Voucher SLS/0108 ની વિગત દેખાડો.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__3_gu_1,SLS/0108 voucher ની information.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__3_gu_2,Voucher number SLS/0108 ની entry.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",gu
voucher_lookup_by_number__3_gu_3,SLS/0108 ની accounting lines.,"SELECT tv.voucher_number, tv.date, tv.party_name,
  mvt.name AS voucher_type,
  ta.ledger, ta.amount AS line_amount
FROM trn_voucher tv
JOIN mst_vouchertype mvt ON tv._voucher_type = mvt.guid
JOIN trn_accounting ta ON ta.guid = tv.guid
WHERE tv.voucher_number = 'SLS/0108'
ORDER BY ta.amount;",gu
